Titel;Stand;Datum
Bundesgesez betreffend Feststellung und Beurkundung des Zivilstandes und die Ehe;Inkrafttreten am; 01.01.1876
Bundesgesez betreffend die Ergänzung des Gesezes über die Besoldungen der eidgenössischen Beamten vom 2. August 1873;Inkrafttreten am; 01.01.1878
Bundesgesez betreffend die Arbeit in den Fabriken;Inkrafttreten am; 01.01.1878
Bundesgesetz über Schuldbetreibung und Konkurs;Inkrafttreten am; 01.01.1892
Bundesgesetz betreffend die Besoldungen der eidgenössischen Beamten und Angestellten;Inkrafttreten am; 01.01.1898
Bundesgesetz über die Schweizerische Nationalbank;Inkrafttreten am; 01.01.1906
Bundesgesetz betreffend den schweizerischen Zolltarif;Inkrafttreten am; 01.01.1906
Militärorganisation der schweizerischen Eidgenossenschaft;Inkrafttreten am; 01.01.1908
Bundesgesetz über das Dienstverhältnis der Bundesbeamten;Inkrafttreten am; 01.01.1928
Beamtengesetz vom 30. Juni 1927 (BtG);Inkrafttreten am; 01.01.1928
Bundesgesetz betreffend Massnahmen gegen die Tuberkulose;Inkrafttreten am; 01.01.1929
Bundesgesetz über die Abänderung des Bundesgesetzes betreffend die Militärorganisation (Neuordnung der Ausbildung);Inkrafttreten am; 01.01.1936
Schweizerisches Strafgesetzbuch;Inkrafttreten am; 01.01.1942
Bundesgesetz über die Schweizerischen Bundesbahnen;Inkrafttreten am; 01.01.1946
Bundesgesetz über die Alters- und Hinterlassenenversicherung;Inkrafttreten am; 01.01.1948
Bundesgesetz betreffend Abänderung des Bundesgesetzes über das Dienstverhältnis der Bundesbeamten;Inkrafttreten am; 01.01.1950
Bundesgesetz über die Förderung der Landwirtschaft und die Erhaltung des Bauernstandes (Landwirtschaftsgesetz);Inkrafttreten am; 01.01.1954
Bundesbeschluss über die schweizerische Uhrenindustrie (Uhrenstatut);Inkrafttreten am; 01.01.1962
Bundesgesetz über Massnahmen zum Ausgleich des Bundeshaushaltes;Inkrafttreten am; 01.01.1978
Bundesgesetz über die Alters- und Hinterlassenenversicherung;Inkrafttreten am; 01.01.1979
Bundesgesetz über die Berufsbildung (BBG);Inkrafttreten am; 01.01.1980
Bundesgesetz über Aufenthalt und Niederlassung der Ausländer;Inkrafttreten am; 01.01.1988
Asylgesetz;Inkrafttreten am; 01.01.1988
Schweizerisches Zivilgesetzbuch (Wirkungen der Ehe im allgemeinen, Ehegüterrecht und Erbrecht);Inkrafttreten am; 01.01.1988
Bundesgesetz über das Internationale Privatrecht (IPRG);Inkrafttreten am; 01.01.1989
Schweizerisches Strafgesetzbuch, Militärstrafgesetz (Strafbare Handlungen gegen Leib und Leben und gegen die Familie);Inkrafttreten am; 01.01.1990
Bundesbeschluss über befristete Massnahmen gegen die Kostensteigerung in der Krankenversicherung;Inkrafttreten am; 01.01.1993
Bundesgesetz über das bäuerliche Bodenrecht (BGBB);Inkrafttreten am; 01.01.1994
Schweizerisches Strafgesetzbuch. Militärstrafgesetz;Inkrafttreten am; 01.01.1995
