"Kanton","Periode","Obligatorisches Referendum Angenommen","Obligatorisches Referendum Verworfen","Obligatorisches Referendum Total","Fakultatives Referendum Angenommen","Fakultatives Referendum Verworfen","Fakultatives Referendum Total","Volksinitiative Angenommen","Volksinitiative Verworfen","Volksinitiative Total","Alle Vorlagentypen Angenommen","Alle Vorlagentypen Verworfen","Alle Vorlagentypen Total"
"Schweiz","Jahr: 2024",0,0,0,2,4,6,1,5,6,3,9,12
"Schweiz","Jahr: 2023",1,0,1,2,0,2,0,0,0,3,0,3
"Schweiz","Jahr: 2022",1,0,1,4,3,7,1,2,3,6,5,11
"Schweiz","Jahr: 2021",0,0,0,5,2,7,2,4,6,7,6,13
"Schweiz","Jahr: 2020",0,0,0,3,2,5,0,4,4,3,6,9
"Schweiz","Jahr: 2019",0,0,0,2,0,2,0,1,1,2,1,3
"Schweiz","Jahr: 2018",2,0,2,2,0,2,0,6,6,4,6,10
"Schweiz","Jahr: 2017",3,1,4,1,2,3,0,0,0,4,3,7
"Schweiz","Jahr: 2016",0,0,0,4,0,4,0,9,9,4,9,13
"Schweiz","Jahr: 2015",1,0,1,1,0,1,0,4,4,2,4,6
"Schweiz","Jahr: 2014",2,0,2,0,1,1,2,7,9,4,8,12
"Schweiz","Jahr: 2013",0,1,1,4,1,5,1,4,5,5,6,11
"Schweiz","Jahr: 2012",2,0,2,1,2,3,1,6,7,4,8,12
"Schweiz","Jahr: 2011",0,0,0,0,0,0,0,1,1,0,1,1
"Schweiz","Jahr: 2010",1,0,1,1,1,2,0,2,2,3,4,6
"Schweiz","Jahr: 2009",4,0,4,2,0,2,1,1,2,7,1,8
"Schweiz","Jahr: 2008",0,1,1,2,0,2,1,6,7,3,7,10
"Schweiz","Jahr: 2007",0,0,0,1,0,1,0,1,1,1,1,2
"Schweiz","Jahr: 2006",1,0,1,4,0,4,0,1,1,5,1,6
"Schweiz","Jahr: 2005",0,0,0,4,0,4,1,0,1,5,0,5
"Schweiz","Jahr: 2004",2,4,6,2,3,5,1,1,2,5,8,13
"Schweiz","Jahr: 2003",1,0,1,3,0,3,0,7,7,4,7,11
"Schweiz","Jahr: 2002",0,0,0,2,1,3,1,3,4,3,6,8
"Schweiz","Jahr: 2001",2,0,2,2,0,2,0,7,7,4,7,11
"Schweiz","Jahr: 2000",1,1,2,2,0,2,0,10,10,3,13,15
"Schweiz","Jahr: 1999",3,0,3,4,2,6,0,1,1,7,3,10
"Schweiz","Jahr: 1998",3,0,3,2,0,2,0,5,5,5,5,10
"Schweiz","Jahr: 1997",1,0,1,0,1,1,0,3,3,1,4,5
"Schweiz","Jahr: 1996",5,1,6,0,2,2,0,1,1,5,4,9
"Schweiz","Jahr: 1995",1,1,2,1,3,4,0,1,1,2,5,7
"Schweiz","Jahr: 1994",4,2,6,4,1,5,1,1,2,9,4,13
"Schweiz","Jahr: 1993",7,0,7,3,0,3,1,5,6,11,5,16
"Schweiz","Jahr: 1992",2,1,3,8,2,10,0,3,3,10,6,16
"Schweiz","Jahr: 1991",1,1,2,1,0,1,0,1,1,2,2,4
"Schweiz","Jahr: 1990",1,0,1,1,2,3,1,5,6,3,7,10
"Schweiz","Jahr: 1989",0,0,0,0,0,0,0,3,3,0,3,3
"Schweiz","Jahr: 1988",0,1,1,0,0,0,0,4,4,0,5,5
"Schweiz","Jahr: 1987",1,0,1,3,1,4,1,1,2,5,2,7
"Schweiz","Jahr: 1986",1,1,2,0,1,1,0,2,2,1,6,6
"Schweiz","Jahr: 1985",6,1,7,1,1,2,0,3,3,7,5,12
"Schweiz","Jahr: 1984",4,0,4,0,0,0,0,6,6,4,6,10
"Schweiz","Jahr: 1983",2,2,4,0,0,0,0,0,0,2,2,4
"Schweiz","Jahr: 1982",0,0,0,1,1,2,0,0,0,2,2,3
"Schweiz","Jahr: 1981",3,0,3,0,0,0,0,1,1,3,1,4
"Schweiz","Jahr: 1980",4,0,4,1,0,1,0,1,1,5,1,6
"Schweiz","Jahr: 1979",1,2,3,1,0,1,0,2,2,2,4,6
"Schweiz","Jahr: 1978",2,0,2,5,4,9,0,3,3,7,7,14
"Schweiz","Jahr: 1977",3,2,5,2,0,2,0,5,5,6,10,14
"Schweiz","Jahr: 1976",3,1,4,0,2,2,0,3,3,3,8,10
"Schweiz","Jahr: 1975",5,1,6,2,1,3,0,0,0,7,2,9
"Schweiz","Jahr: 1974",1,1,2,0,0,0,0,1,1,1,4,4
"Schweiz","Jahr: 1973",7,1,8,0,0,0,0,0,0,7,1,8
"Schweiz","Jahr: 1972",4,0,4,0,0,0,0,1,1,6,3,7
"Schweiz","Jahr: 1971",3,0,3,0,0,0,0,0,0,3,0,3
"Schweiz","Jahr: 1970",1,1,2,1,0,1,0,2,2,2,3,5
"Schweiz","Jahr: 1969",1,0,1,0,1,1,0,0,0,1,1,2
"Schweiz","Jahr: 1968",1,0,1,0,1,1,0,0,0,1,1,2
"Schweiz","Jahr: 1967",0,0,0,0,0,0,0,1,1,0,1,1
"Schweiz","Jahr: 1966",1,0,1,0,0,0,0,1,1,1,1,2
"Schweiz","Jahr: 1965",2,0,2,1,0,1,0,0,0,3,0,3
"Schweiz","Jahr: 1964",1,1,2,1,0,1,0,0,0,2,1,3
"Schweiz","Jahr: 1963",2,0,2,0,0,0,0,1,1,2,1,3
"Schweiz","Jahr: 1962",2,0,2,0,1,1,0,1,1,2,2,4
"Schweiz","Jahr: 1961",1,0,1,1,1,2,0,1,1,2,2,4
"Schweiz","Jahr: 1960",1,0,1,1,0,1,0,0,0,2,0,2
"Schweiz","Jahr: 1959",1,1,2,0,0,0,0,0,0,1,1,2
"Schweiz","Jahr: 1958",4,0,4,1,0,1,0,2,2,5,2,7
"Schweiz","Jahr: 1957",2,2,4,0,0,0,0,0,0,2,2,4
"Schweiz","Jahr: 1956",1,2,3,0,1,1,0,1,1,1,4,5
"Schweiz","Jahr: 1955",0,0,0,0,0,0,0,0,0,0,2,1
"Schweiz","Jahr: 1954",1,0,1,0,2,2,0,1,1,1,3,4
"Schweiz","Jahr: 1953",1,1,2,0,1,1,0,0,0,1,2,3
"Schweiz","Jahr: 1952",2,1,3,2,2,4,0,2,2,4,5,9
"Schweiz","Jahr: 1951",0,0,0,0,1,1,0,1,1,1,3,3
"Schweiz","Jahr: 1950",2,1,3,0,1,1,0,1,1,2,3,5
"Schweiz","Jahr: 1949",0,1,1,1,1,2,1,0,1,2,2,4
"Schweiz","Jahr: 1948",0,0,0,0,1,1,0,0,0,0,1,1
"Schweiz","Jahr: 1947",1,0,1,1,0,1,0,1,1,2,1,3
"Schweiz","Jahr: 1946",0,1,1,0,0,0,0,1,1,0,2,2
"Schweiz","Jahr: 1945",1,0,1,1,0,1,0,0,0,2,0,2
"Schweiz","Jahr: 1944",0,0,0,1,0,1,0,0,0,1,0,1
"Schweiz","Jahr: 1942",0,0,0,0,0,0,0,2,2,0,2,2
"Schweiz","Jahr: 1941",0,0,0,0,0,0,0,1,1,0,1,1
"Schweiz","Jahr: 1940",0,0,0,0,1,1,0,0,0,0,1,1
"Schweiz","Jahr: 1939",2,0,2,0,1,1,0,1,1,2,2,4
